github link,name,dsecription,category
https://github.com/blader/Claudeception,Claudeception,autonomous skill extraction and continuous learning for claude code,claude code
https://github.com/jitsucom/jitsu,Jitsu,Fully-scriptable data ingestion engine for modern data teams.,database
https://github.com/zane-ops/zane-ops,ZaneOps,"self-hosted PaaS for deploying and managing web apps, databases, static websites and more",dev-tools
https://github.com/Dammyjay93/interface-design,Interface Design,Design engineering for Claude Code.,claude code
https://github.com/CorentinTh/enclosed,Enclosed,Minimalistic web app designed for sending private and secure notes.,messaging
https://github.com/traceloop/openllmetry,https://github.com/traceloop/openllmetry,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry",dev-tools
https://github.com/CanineHQ/canine,Canine,A developer friendly PaaS for your Kubernetes,dev-tools
https://github.com/ImpulseAdventure/GUIslice-Builder,GUIslice Builder,Cross-platform drag & drop GUI builder for GUIslice,dev-tools
https://github.com/ghostsecurity/skills,Ghost Security Skills,Ghost Security's collection of AppSec skills for AI coding agents,CLI Tools
https://github.com/Jerry23011/VirusTotal-macOS,VirusTotal for macOS,Elegant VirusTotal client built with SwiftUI,cyber secuirty